data;café_nome;quantidade;dinheiro;total_vendas;tipo_dinheiro;cartão
01/03/2024;Latte;2;38,7;77,4;cartao;ANON-0000-0000-0001
01/03/2024;Hot Chocolate;8;38,7;309,6;cartao;ANON-0000-0000-0002
01/03/2024;Hot Chocolate;1;38,7;38,7;cartao;ANON-0000-0000-0002
01/03/2024;Americano;3;28,9;86,7;cartao;ANON-0000-0000-0003
01/03/2024;Latte;3;38,7;116,1;cartao;ANON-0000-0000-0004
01/03/2024;Americano with Milk;10;33,8;338;cartao;ANON-0000-0000-0005
01/03/2024;Hot Chocolate;9;38,7;348,3;cartao;ANON-0000-0000-0006
01/03/2024;Americano with Milk;2;33,8;67,6;cartao;ANON-0000-0000-0007
01/03/2024;Cocoa;5;38,7;193,5;cartao;ANON-0000-0000-0008
01/03/2024;Americano with Milk;4;33,8;135,2;cartao;ANON-0000-0000-0008
01/03/2024;Americano with Milk;6;33,8;202,8;cartao;ANON-0000-0000-0009
02/03/2024;Americano;8;28,9;231,2;cartao;ANON-0000-0000-0010
02/03/2024;Latte;9;40;360;dinheiro;
02/03/2024;Americano with Milk;1;33,8;33,8;cartao;ANON-0000-0000-0011
02/03/2024;Americano with Milk;10;33,8;338;cartao;ANON-0000-0000-0012
02/03/2024;Americano;7;28,9;202,3;cartao;ANON-0000-0000-0013
02/03/2024;Americano with Milk;7;33,8;236,6;cartao;ANON-0000-0000-0014
02/03/2024;Americano;6;28,9;173,4;cartao;ANON-0000-0000-0004
03/03/2024;Latte;6;40;240;dinheiro;
03/03/2024;Latte;7;38,7;270,9;cartao;ANON-0000-0000-0015
03/03/2024;Cortado;3;28,9;86,7;cartao;ANON-0000-0000-0016
03/03/2024;Americano;10;28,9;289;cartao;ANON-0000-0000-0012
03/03/2024;Hot Chocolate;3;38,7;116,1;cartao;ANON-0000-0000-0017
03/03/2024;Cocoa;1;38,7;38,7;cartao;ANON-0000-0000-0018
03/03/2024;Cortado;4;28,9;115,6;cartao;ANON-0000-0000-0019
03/03/2024;Americano with Milk;3;33,8;101,4;cartao;ANON-0000-0000-0020
03/03/2024;Americano with Milk;6;33,8;202,8;cartao;ANON-0000-0000-0020
03/03/2024;Hot Chocolate;3;38,7;116,1;cartao;ANON-0000-0000-0020
04/03/2024;Latte;10;38,7;387;cartao;ANON-0000-0000-0001
04/03/2024;Latte;7;38,7;270,9;cartao;ANON-0000-0000-0021
04/03/2024;Americano with Milk;9;33,8;304,2;cartao;ANON-0000-0000-0012
04/03/2024;Espresso;5;24;120;cartao;ANON-0000-0000-0022
05/03/2024;Latte;7;38,7;270,9;cartao;ANON-0000-0000-0001
05/03/2024;Latte;2;38,7;77,4;cartao;ANON-0000-0000-0023
05/03/2024;Latte;5;38,7;193,5;cartao;ANON-0000-0000-0024
05/03/2024;Hot Chocolate;9;38,7;348,3;cartao;ANON-0000-0000-0025
05/03/2024;Cocoa;5;38,7;193,5;cartao;ANON-0000-0000-0026
05/03/2024;Hot Chocolate;2;38,7;77,4;cartao;ANON-0000-0000-0027
05/03/2024;Hot Chocolate;8;38,7;309,6;cartao;ANON-0000-0000-0009
05/03/2024;Cortado;4;28,9;115,6;cartao;ANON-0000-0000-0028
05/03/2024;Hot Chocolate;6;38,7;232,2;cartao;ANON-0000-0000-0028
06/03/2024;Americano with Milk;5;35;175;dinheiro;
06/03/2024;Americano;10;28,9;289;cartao;ANON-0000-0000-0012
06/03/2024;Cortado;4;28,9;115,6;cartao;ANON-0000-0000-0012
06/03/2024;Cappuccino;9;38,7;348,3;cartao;ANON-0000-0000-0029
06/03/2024;Cappuccino;2;38,7;77,4;cartao;ANON-0000-0000-0029
07/03/2024;Latte;6;40;240;dinheiro;
07/03/2024;Hot Chocolate;9;38,7;348,3;cartao;ANON-0000-0000-0030
07/03/2024;Latte;8;38,7;309,6;cartao;ANON-0000-0000-0031
07/03/2024;Latte;7;40;280;dinheiro;
07/03/2024;Americano;3;28,9;86,7;cartao;ANON-0000-0000-0032
07/03/2024;Americano with Milk;10;33,8;338;cartao;ANON-0000-0000-0033
08/03/2024;Cortado;9;28,9;260,1;cartao;ANON-0000-0000-0012
08/03/2024;Cappuccino;4;38,7;154,8;cartao;ANON-0000-0000-0034
08/03/2024;Americano;10;28,9;289;cartao;ANON-0000-0000-0035
08/03/2024;Americano;7;28,9;202,3;cartao;ANON-0000-0000-0012
08/03/2024;Americano;1;28,9;28,9;cartao;ANON-0000-0000-0033
08/03/2024;Americano with Milk;10;33,8;338;cartao;ANON-0000-0000-0012
08/03/2024;Latte;10;38,7;387;cartao;ANON-0000-0000-0036
08/03/2024;Latte;7;38,7;270,9;cartao;ANON-0000-0000-0037
09/03/2024;Hot Chocolate;4;40;160;dinheiro;
09/03/2024;Espresso;7;24;168;cartao;ANON-0000-0000-0038
09/03/2024;Americano;2;28,9;57,8;cartao;ANON-0000-0000-0039
09/03/2024;Cappuccino;3;38,7;116,1;cartao;ANON-0000-0000-0012
09/03/2024;Americano;6;28,9;173,4;cartao;ANON-0000-0000-0040
09/03/2024;Americano;2;28,9;57,8;cartao;ANON-0000-0000-0040
09/03/2024;Latte;4;38,7;154,8;cartao;ANON-0000-0000-0041
